abstract-deque;0.3;"";"Data ";C:\Users\nicol\Documents\GitHub/lts_downloaded/tar_package/lts-9-21\abstract-deque\abstract-deque-0.3\abstract-deque.cabal;array,base >=4 && <5,containers,random,time;Data.Concurrent.Deque.Class,Data.Concurrent.Deque.Debugger,Data.Concurrent.Deque.Reference,Data.Concurrent.Deque.Reference.DequeInstance;;
abstract-deque-tests;0.3;"";"Data ";C:\Users\nicol\Documents\GitHub/lts_downloaded/tar_package/lts-9-21\abstract-deque-tests\abstract-deque-tests-0.3\abstract-deque-tests.cabal;HUnit,abstract-deque >=0.3,array,base >=4 && <5,containers,random >=1.0,test-framework >=0.6,test-framework-hunit >=0.2.7,time;Data.Concurrent.Deque.Tests;;
abstract-par;0.3.3;"Experimental";"Control,Parallelism,Monads";C:\Users\nicol\Documents\GitHub/lts_downloaded/tar_package/lts-9-21\abstract-par\abstract-par-0.3.3\abstract-par.cabal;base >=4 && <5,deepseq >=1.1;Control.Monad.Par.Class,Control.Monad.Par.Unsafe;;
AC-Vector;2.3.2;"Experimental";"Data, Math, Numerical, Graphics";C:\Users\nicol\Documents\GitHub/lts_downloaded/tar_package/lts-9-21\AC-Vector\AC-Vector-2.3.2\AC-Vector.cabal;base >=4 && <5;Data.BoundingBox.B1,Data.BoundingBox.B2,Data.BoundingBox.B3,Data.BoundingBox.B4,Data.BoundingBox.Range,Data.Vector.Class,Data.Vector.Transform.T1,Data.Vector.Transform.T2,Data.Vector.Transform.T3,Data.Vector.Transform.T4,Data.Vector.V1,Data.Vector.V2,Data.Vector.V3,Data.Vector.V4;.;
accelerate;1.0.0.0;"Experimental";"Compilers/Interpreters, Concurrency, Data, Parallelism";C:\Users\nicol\Documents\GitHub/lts_downloaded/tar_package/lts-9-21\accelerate\accelerate-1.0.0.0\accelerate.cabal;base >=4.7 && <4.10,base-orphans >=0.3,containers >=0.3,deepseq >=1.3,directory >=1.0,exceptions >=0.6,fclabels >=2.0,filepath >=1.0,ghc-prim,hashable >=1.1,hashtables >=1.0,mtl >=2.0,pretty >=1.0,template-haskell,time >=1.4,transformers >=0.3,unique,unordered-containers >=0.2;Data.Array.Accelerate,Data.Array.Accelerate.AST,Data.Array.Accelerate.Analysis.Match,Data.Array.Accelerate.Analysis.Shape,Data.Array.Accelerate.Analysis.Stencil,Data.Array.Accelerate.Analysis.Type,Data.Array.Accelerate.Array.Data,Data.Array.Accelerate.Array.Lifted,Data.Array.Accelerate.Array.Remote,Data.Array.Accelerate.Array.Remote.Class,Data.Array.Accelerate.Array.Remote.LRU,Data.Array.Accelerate.Array.Remote.Nursery,Data.Array.Accelerate.Array.Remote.Table,Data.Array.Accelerate.Array.Representation,Data.Array.Accelerate.Array.Sugar,Data.Array.Accelerate.Array.Unique,Data.Array.Accelerate.Async,Data.Array.Accelerate.Classes,Data.Array.Accelerate.Classes.Bounded,Data.Array.Accelerate.Classes.Enum,Data.Array.Accelerate.Classes.Eq,Data.Array.Accelerate.Classes.Floating,Data.Array.Accelerate.Classes.Fractional,Data.Array.Accelerate.Classes.FromIntegral,Data.Array.Accelerate.Classes.Integral,Data.Array.Accelerate.Classes.Num,Data.Array.Accelerate.Classes.Ord,Data.Array.Accelerate.Classes.Real,Data.Array.Accelerate.Classes.RealFloat,Data.Array.Accelerate.Classes.RealFrac,Data.Array.Accelerate.Classes.ToFloating,Data.Array.Accelerate.Data.Bits,Data.Array.Accelerate.Data.Complex,Data.Array.Accelerate.Data.Fold,Data.Array.Accelerate.Data.Monoid,Data.Array.Accelerate.Debug,Data.Array.Accelerate.Debug.Flags,Data.Array.Accelerate.Debug.Monitoring,Data.Array.Accelerate.Debug.Stats,Data.Array.Accelerate.Debug.Timed,Data.Array.Accelerate.Debug.Trace,Data.Array.Accelerate.Error,Data.Array.Accelerate.FullList,Data.Array.Accelerate.Interpreter,Data.Array.Accelerate.Language,Data.Array.Accelerate.Lifetime,Data.Array.Accelerate.Lift,Data.Array.Accelerate.Prelude,Data.Array.Accelerate.Pretty,Data.Array.Accelerate.Pretty.Graphviz,Data.Array.Accelerate.Pretty.Graphviz.Monad,Data.Array.Accelerate.Pretty.Graphviz.Type,Data.Array.Accelerate.Pretty.Print,Data.Array.Accelerate.Product,Data.Array.Accelerate.Smart,Data.Array.Accelerate.Trafo,Data.Array.Accelerate.Trafo.Algebra,Data.Array.Accelerate.Trafo.Base,Data.Array.Accelerate.Trafo.Fusion,Data.Array.Accelerate.Trafo.Rewrite,Data.Array.Accelerate.Trafo.Sharing,Data.Array.Accelerate.Trafo.Shrink,Data.Array.Accelerate.Trafo.Simplify,Data.Array.Accelerate.Trafo.Substitution,Data.Array.Accelerate.Type,Data.Atomic;;
accuerr;0.2.0.2;"Experimental";"Development";C:\Users\nicol\Documents\GitHub/lts_downloaded/tar_package/lts-9-21\accuerr\accuerr-0.2.0.2\accuerr.cabal;base >=4.8.0.0 && <5,bifunctors >=5.2,lens >=4.13,semigroups >=0.18.1;Accuerr;lib;
ace;0.6;"";"Linguistics";C:\Users\nicol\Documents\GitHub/lts_downloaded/tar_package/lts-9-21\ace\ace-0.6\ace.cabal;attoparsec >=0.10.4.0,base >=4 && <5,blaze-html >=0.5.1.0,blaze-markup >=0.5.2.0,data-default >=0.5.3,parsec >=3.1.5,text >=0.11.2.0;ACE,ACE.Combinators,ACE.Html,ACE.Parsers,ACE.Pretty,ACE.Tokenizer,ACE.Types.Pretty,ACE.Types.Syntax,ACE.Types.Tokens;src/;
action-permutations;0.0.0.1;"";"Control";C:\Users\nicol\Documents\GitHub/lts_downloaded/tar_package/lts-9-21\action-permutations\action-permutations-0.0.0.1\action-permutations.cabal;base >=2 && <5;Control.Applicative.Permutation;;
active;0.2.0.13;"";"Data";C:\Users\nicol\Documents\GitHub/lts_downloaded/tar_package/lts-9-21\active\active-0.2.0.13\active.cabal;base >=4.0 && <4.11,lens >=4.0 && <4.16,linear >=1.14 && <1.21,semigroupoids >=1.2 && <5.3,semigroups >=0.1 && <0.19,vector >=0.10;Data.Active;src;
ad;4.3.4;"Experimental";"Math";C:\Users\nicol\Documents\GitHub/lts_downloaded/tar_package/lts-9-21\ad\ad-4.3.4\ad.cabal;array >=0.2 && <0.6,base >=4.3 && <5,comonad >=4 && <6,containers >=0.2 && <0.6,data-reify >=0.6 && <0.7,erf >=2.0 && <2.1,free >=4.6.1 && <5,nats >=0.1.2 && <2,reflection >=1.4 && <3,transformers >=0.3 && <0.6;Numeric.AD,Numeric.AD.Halley,Numeric.AD.Internal.Combinators,Numeric.AD.Internal.Dense,Numeric.AD.Internal.Forward,Numeric.AD.Internal.Forward.Double,Numeric.AD.Internal.Identity,Numeric.AD.Internal.Kahn,Numeric.AD.Internal.On,Numeric.AD.Internal.Or,Numeric.AD.Internal.Reverse,Numeric.AD.Internal.Sparse,Numeric.AD.Internal.Tower,Numeric.AD.Internal.Type,Numeric.AD.Jacobian,Numeric.AD.Jet,Numeric.AD.Mode,Numeric.AD.Mode.Forward,Numeric.AD.Mode.Forward.Double,Numeric.AD.Mode.Kahn,Numeric.AD.Mode.Reverse,Numeric.AD.Mode.Sparse,Numeric.AD.Mode.Tower,Numeric.AD.Newton,Numeric.AD.Newton.Double,Numeric.AD.Rank1.Forward,Numeric.AD.Rank1.Forward.Double,Numeric.AD.Rank1.Halley,Numeric.AD.Rank1.Kahn,Numeric.AD.Rank1.Newton,Numeric.AD.Rank1.Newton.Double,Numeric.AD.Rank1.Sparse,Numeric.AD.Rank1.Tower;src;
