abstract-deque;0.3;"";"Data ";C:\Users\nicol\Documents\GitHub/lts_downloaded/tar_package/lts-12-26\abstract-deque\abstract-deque-0.3\abstract-deque.cabal;array,base >=4 && <5,containers,random,time;Data.Concurrent.Deque.Class,Data.Concurrent.Deque.Debugger,Data.Concurrent.Deque.Reference,Data.Concurrent.Deque.Reference.DequeInstance;;
abstract-deque-tests;0.3;"";"Data ";C:\Users\nicol\Documents\GitHub/lts_downloaded/tar_package/lts-12-26\abstract-deque-tests\abstract-deque-tests-0.3\abstract-deque-tests.cabal;HUnit,abstract-deque >=0.3,array,base >=4 && <5,containers,random >=1.0,test-framework >=0.6,test-framework-hunit >=0.2.7,time;Data.Concurrent.Deque.Tests;;
abstract-par;0.3.3;"Experimental";"Control,Parallelism,Monads";C:\Users\nicol\Documents\GitHub/lts_downloaded/tar_package/lts-12-26\abstract-par\abstract-par-0.3.3\abstract-par.cabal;base >=4 && <5,deepseq >=1.1;Control.Monad.Par.Class,Control.Monad.Par.Unsafe;;
accuerr;0.2.0.2;"Experimental";"Development";C:\Users\nicol\Documents\GitHub/lts_downloaded/tar_package/lts-12-26\accuerr\accuerr-0.2.0.2\accuerr.cabal;base >=4.8.0.0 && <5,bifunctors >=5.2,lens >=4.13,semigroups >=0.18.1;Accuerr;lib;
ace;0.6;"";"Linguistics";C:\Users\nicol\Documents\GitHub/lts_downloaded/tar_package/lts-12-26\ace\ace-0.6\ace.cabal;attoparsec >=0.10.4.0,base >=4 && <5,blaze-html >=0.5.1.0,blaze-markup >=0.5.2.0,data-default >=0.5.3,parsec >=3.1.5,text >=0.11.2.0;ACE,ACE.Combinators,ACE.Html,ACE.Parsers,ACE.Pretty,ACE.Tokenizer,ACE.Types.Pretty,ACE.Types.Syntax,ACE.Types.Tokens;src/;
action-permutations;0.0.0.1;"";"Control";C:\Users\nicol\Documents\GitHub/lts_downloaded/tar_package/lts-12-26\action-permutations\action-permutations-0.0.0.1\action-permutations.cabal;base >=2 && <5;Control.Applicative.Permutation;;
active;0.2.0.13;"";"Data";C:\Users\nicol\Documents\GitHub/lts_downloaded/tar_package/lts-12-26\active\active-0.2.0.13\active.cabal;base >=4.0 && <4.11,lens >=4.0 && <4.16,linear >=1.14 && <1.21,semigroupoids >=1.2 && <5.3,semigroups >=0.1 && <0.19,vector >=0.10;Data.Active;src;
ad;4.3.5;"Experimental";"Math";C:\Users\nicol\Documents\GitHub/lts_downloaded/tar_package/lts-12-26\ad\ad-4.3.5\ad.cabal;array >=0.2 && <0.6,base >=4.3 && <5,comonad >=4 && <6,containers >=0.2 && <0.6,data-reify >=0.6 && <0.7,erf >=2.0 && <2.1,free >=4.6.1 && <5,nats >=0.1.2 && <2,reflection >=1.4 && <3,semigroups >=0.16 && <1,transformers >=0.3 && <0.6;Numeric.AD,Numeric.AD.Halley,Numeric.AD.Internal.Combinators,Numeric.AD.Internal.Dense,Numeric.AD.Internal.Forward,Numeric.AD.Internal.Forward.Double,Numeric.AD.Internal.Identity,Numeric.AD.Internal.Kahn,Numeric.AD.Internal.On,Numeric.AD.Internal.Or,Numeric.AD.Internal.Reverse,Numeric.AD.Internal.Sparse,Numeric.AD.Internal.Tower,Numeric.AD.Internal.Type,Numeric.AD.Jacobian,Numeric.AD.Jet,Numeric.AD.Mode,Numeric.AD.Mode.Forward,Numeric.AD.Mode.Forward.Double,Numeric.AD.Mode.Kahn,Numeric.AD.Mode.Reverse,Numeric.AD.Mode.Sparse,Numeric.AD.Mode.Tower,Numeric.AD.Newton,Numeric.AD.Newton.Double,Numeric.AD.Rank1.Forward,Numeric.AD.Rank1.Forward.Double,Numeric.AD.Rank1.Halley,Numeric.AD.Rank1.Kahn,Numeric.AD.Rank1.Newton,Numeric.AD.Rank1.Newton.Double,Numeric.AD.Rank1.Sparse,Numeric.AD.Rank1.Tower;src;
adjunctions;4.4;"provisional";"Data Structures, Adjunctions";C:\Users\nicol\Documents\GitHub/lts_downloaded/tar_package/lts-12-26\adjunctions\adjunctions-4.4\adjunctions.cabal;array >=0.3.0.2 && <0.7,base >=4 && <5,comonad >=4 && <6,containers >=0.3 && <0.6,contravariant >=1 && <2,distributive >=0.5.1 && <1,free >=4 && <6,mtl >=2.0.1 && <2.3,profunctors >=4 && <6,semigroupoids >=4 && <6,semigroups >=0.11 && <1,tagged >=0.7 && <1,transformers >=0.2 && <0.6,transformers-compat >=0.3 && <1,void >=0.5.5.1 && <1;Control.Comonad.Representable.Store,Control.Comonad.Trans.Adjoint,Control.Monad.Representable.Reader,Control.Monad.Representable.State,Control.Monad.Trans.Adjoint,Control.Monad.Trans.Contravariant.Adjoint,Control.Monad.Trans.Conts,Data.Functor.Adjunction,Data.Functor.Contravariant.Adjunction,Data.Functor.Contravariant.Rep,Data.Functor.Rep;src;
adler32;0.1.2.0;"";"Cryptography, Hash";C:\Users\nicol\Documents\GitHub/lts_downloaded/tar_package/lts-12-26\adler32\adler32-0.1.2.0\adler32.cabal;base >=4.9 && <5,bytestring >=0.10.2;Data.Digest.Adler32;src;
aern2-mp;0.1.3.1;"experimental";"Math";C:\Users\nicol\Documents\GitHub/lts_downloaded/tar_package/lts-12-26\aern2-mp\aern2-mp-0.1.3.1\aern2-mp.cabal;QuickCheck,base >=4 && <5,convertible,hspec,integer-logarithms,lens,mixed-types-num,regex-tdfa,template-haskell;AERN2.MP,AERN2.MP.Accuracy,AERN2.MP.Ball,AERN2.MP.Ball.Comparisons,AERN2.MP.Ball.Conversions,AERN2.MP.Ball.Elementary,AERN2.MP.Ball.Field,AERN2.MP.Ball.PreludeOps,AERN2.MP.Ball.Tests,AERN2.MP.Ball.Type,AERN2.MP.Dyadic,AERN2.MP.Enclosure,AERN2.MP.ErrorBound,AERN2.MP.Float,AERN2.MP.Float.Constants,AERN2.MP.Float.Operators,AERN2.MP.Float.Tests,AERN2.MP.Precision,AERN2.Norm,AERN2.Normalize,AERN2.Utils.Bench;src;
aern2-real;0.1.1.0;"experimental";"Math";C:\Users\nicol\Documents\GitHub/lts_downloaded/tar_package/lts-12-26\aern2-real\aern2-real-0.1.1.0\aern2-real.cabal;QuickCheck,QuickCheck >=2.7,aern2-mp >=0.1 && <0.2,aern2-real,aeson >=0.11,base >=4 && <5,bytestring >=0.10,containers >=0.5 && <0.6,convertible >=1.1.1.0,hspec >=2.1,lens >=4.13,mixed-types-num >=0.3.1,random,stm >=2.4,transformers >=0.4;AERN2.AccuracySG,AERN2.Limit,AERN2.MPBallWithGlobalPrec,AERN2.QA.NetLog,AERN2.QA.Protocol,AERN2.QA.Strategy.Cached,AERN2.QA.Strategy.Cached.Arrow,AERN2.QA.Strategy.Cached.NetState,AERN2.QA.Strategy.CachedUnsafe,AERN2.QA.Strategy.Parallel,AERN2.Real,AERN2.Real.Arithmetic,AERN2.Real.Tests,AERN2.Real.Type,AERN2.Sequence,AERN2.Sequence.Branching,AERN2.Sequence.Comparison,AERN2.Sequence.Elementary,AERN2.Sequence.Field,AERN2.Sequence.Helpers,AERN2.Sequence.PreludeOps,AERN2.Sequence.Ring,AERN2.Sequence.Type,AERN2.Utils.Arrows,AERN2.WithGlobalParam,AERN2.WithGlobalParam.Branching,AERN2.WithGlobalParam.Comparison,AERN2.WithGlobalParam.Elementary,AERN2.WithGlobalParam.Field,AERN2.WithGlobalParam.Helpers,AERN2.WithGlobalParam.Ring,AERN2.WithGlobalParam.Type;bench,src;aern2-real-benchOp.hs
