persistent-qq;2.12.0.2;"";"Database, Yesod";/Users/pleger/Documents/Projects/stackage-evolution/lts_downloaded/revised_cabal/lts-18-28/persistent-qq.cabal;base >=4.9 && <5,haskell-src-meta,mtl,persistent >=2.12,template-haskell,text;Database.Persist.Sql.Raw.QQ,Paths_persistent_qq;src;
criterion-measurement;0.1.3.0;"";"Development, Performance, Testing, Benchmarking";/Users/pleger/Documents/Projects/stackage-evolution/lts_downloaded/revised_cabal/lts-18-28/criterion-measurement.cabal;aeson >=0.8,base >=4.5 && <5,base-compat >=0.9,binary >=0.5.1.0,containers,deepseq >=1.1.0.0,vector >=0.7.1;Criterion.Measurement,Criterion.Measurement.Types,Criterion.Measurement.Types.Internal;src;
genvalidity-sydtest;0.0.0.0;"";"Testing";/Users/pleger/Documents/Projects/stackage-evolution/lts_downloaded/revised_cabal/lts-18-28/genvalidity-sydtest.cabal;QuickCheck,base >=4.7 && <5,genvalidity >=0.7,pretty-show,sydtest,validity >=0.9;Paths_genvalidity_sydtest,Test.Syd.Validity,Test.Syd.Validity.Applicative,Test.Syd.Validity.Arbitrary,Test.Syd.Validity.Eq,Test.Syd.Validity.Functions,Test.Syd.Validity.Functions.CanFail,Test.Syd.Validity.Functions.Equivalence,Test.Syd.Validity.Functions.Idempotence,Test.Syd.Validity.Functions.Inverse,Test.Syd.Validity.Functions.Validity,Test.Syd.Validity.Functor,Test.Syd.Validity.GenRelativeValidity,Test.Syd.Validity.GenValidity,Test.Syd.Validity.GenValidity.Property,Test.Syd.Validity.Monad,Test.Syd.Validity.Monoid,Test.Syd.Validity.Operations,Test.Syd.Validity.Operations.Associativity,Test.Syd.Validity.Operations.Commutativity,Test.Syd.Validity.Operations.Identity,Test.Syd.Validity.Ord,Test.Syd.Validity.Property,Test.Syd.Validity.Property.Utils,Test.Syd.Validity.Relations,Test.Syd.Validity.Relations.Antireflexivity,Test.Syd.Validity.Relations.Antisymmetry,Test.Syd.Validity.Relations.Reflexivity,Test.Syd.Validity.Relations.Symmetry,Test.Syd.Validity.Relations.Transitivity,Test.Syd.Validity.RelativeValidity,Test.Syd.Validity.Show,Test.Syd.Validity.Shrinking,Test.Syd.Validity.Shrinking.Property,Test.Syd.Validity.Types,Test.Syd.Validity.Utils;src;
slick;1.1.2.2;"";"Web";/Users/pleger/Documents/Projects/stackage-evolution/lts_downloaded/revised_cabal/lts-18-28/slick.cabal;aeson,base >=4.7 && <5,bytestring,directory,extra,mustache,pandoc,shake,text,unordered-containers;Paths_slick,Slick,Slick.Caching,Slick.Mustache,Slick.Pandoc,Slick.Shake,Slick.Utils;src;
pathwalk;0.3.1.2;"";"System";/Users/pleger/Documents/Projects/stackage-evolution/lts_downloaded/revised_cabal/lts-18-28/pathwalk.cabal;base >=3 && <5,directory >=1.2,filepath >=1.3,transformers >=0.3.0.0;System.Directory.PathWalk;src;
amazonka-cloudhsm;1.6.1;"";"Network, AWS, Cloud, Distributed Computing";/Users/pleger/Documents/Projects/stackage-evolution/lts_downloaded/revised_cabal/lts-18-28/amazonka-cloudhsm.cabal;amazonka-core >=1.6.1 && <1.6.2,base >=4.7 && <5;Network.AWS.CloudHSM,Network.AWS.CloudHSM.AddTagsToResource,Network.AWS.CloudHSM.CreateHAPG,Network.AWS.CloudHSM.CreateHSM,Network.AWS.CloudHSM.CreateLunaClient,Network.AWS.CloudHSM.DeleteHAPG,Network.AWS.CloudHSM.DeleteHSM,Network.AWS.CloudHSM.DeleteLunaClient,Network.AWS.CloudHSM.DescribeHAPG,Network.AWS.CloudHSM.DescribeHSM,Network.AWS.CloudHSM.DescribeLunaClient,Network.AWS.CloudHSM.GetConfig,Network.AWS.CloudHSM.ListAvailableZones,Network.AWS.CloudHSM.ListHAPGs,Network.AWS.CloudHSM.ListHSMs,Network.AWS.CloudHSM.ListLunaClients,Network.AWS.CloudHSM.ListTagsForResource,Network.AWS.CloudHSM.ModifyHAPG,Network.AWS.CloudHSM.ModifyHSM,Network.AWS.CloudHSM.ModifyLunaClient,Network.AWS.CloudHSM.RemoveTagsFromResource,Network.AWS.CloudHSM.Types,Network.AWS.CloudHSM.Types.Product,Network.AWS.CloudHSM.Types.Sum,Network.AWS.CloudHSM.Waiters;gen,src;
mwc-random-monad;0.7.3.1;"";"Math, Statistics";/Users/pleger/Documents/Projects/stackage-evolution/lts_downloaded/revised_cabal/lts-18-28/mwc-random-monad.cabal;base >=3 && <5,monad-primitive,mwc-random >=0.13.3.0,primitive,transformers >=0.3,vector >=0.7;System.Random.MWC.CondensedTable.Monad,System.Random.MWC.Distributions.Monad,System.Random.MWC.Monad;;
pipes-extras;1.0.15;"";"Control, Pipes";/Users/pleger/Documents/Projects/stackage-evolution/lts_downloaded/revised_cabal/lts-18-28/pipes-extras.cabal;base >=4 && <5,foldl >=1.0.1 && <1.5,lens >=4.3 && <5.3,pipes >=4.0 && <4.4,transformers >=0.2.0.0 && <0.7;Pipes.Extras;src;
hedgehog-fn;1.0;"";"Testing";/Users/pleger/Documents/Projects/stackage-evolution/lts_downloaded/revised_cabal/lts-18-28/hedgehog-fn.cabal;base >=4.8 && <5,contravariant >=1.4 && <1.6,hedgehog >=1.0 && <1.3,hedgehog-fn,transformers >=0.5 && <0.7;Hedgehog.Function,Hedgehog.Function.Internal;example,src;Example.hs
interpolator;1.1.0.2;"experimental";"Data";/Users/pleger/Documents/Projects/stackage-evolution/lts_downloaded/revised_cabal/lts-18-28/interpolator.cabal;QuickCheck,aeson,base <5.0,containers,either,mono-traversable,mtl,product-profunctors,profunctors,template-haskell,text;Data.Interpolation,Data.Interpolation.TH,Paths_interpolator;src;
JuicyPixels-blurhash;0.1.0.3;"";"Graphics, Image";/Users/pleger/Documents/Projects/stackage-evolution/lts_downloaded/revised_cabal/lts-18-28/JuicyPixels-blurhash.cabal;JuicyPixels >=3.2.8 && <3.4,JuicyPixels-blurhash,base >=4.7 && <5,bytestring >=0.9 && <0.11,containers >=0.4.2 && <0.7,filepath >=1.4.1.1 && <1.5,optparse-applicative >=0.14.3 && <0.18,vector >=0.10 && <0.13;Codec.Picture.Blurhash,Codec.Picture.Blurhash.Internal.Base83,Codec.Picture.Blurhash.Internal.Common,Codec.Picture.Blurhash.Internal.DList,Codec.Picture.Blurhash.Internal.Decode,Codec.Picture.Blurhash.Internal.Encode,Paths_JuicyPixels_blurhash;app,src;Main.hs
