abstract-deque;0.3;"";"Data ";C:/Users/nicol/Desktop/lts/lts-11-22\abstract-deque\abstract-deque-0.3\abstract-deque.cabal;array -any,base ==4.*,containers -any,random -any,time -any;Data.Concurrent.Deque.Class,Data.Concurrent.Deque.Debugger,Data.Concurrent.Deque.Reference,Data.Concurrent.Deque.Reference.DequeInstance;;
abstract-deque-tests;0.3;"";"Data ";C:/Users/nicol/Desktop/lts/lts-11-22\abstract-deque-tests\abstract-deque-tests-0.3\abstract-deque-tests.cabal;HUnit -any,abstract-deque >=0.3,array -any,base ==4.*,containers -any,random >=1.0,test-framework >=0.6,test-framework-hunit >=0.2.7,time -any;Data.Concurrent.Deque.Tests;;
abstract-par;0.3.3;"Experimental";"Control,Parallelism,Monads";C:/Users/nicol/Desktop/lts/lts-11-22\abstract-par\abstract-par-0.3.3\abstract-par.cabal;base ==4.*,deepseq >=1.1;Control.Monad.Par.Class,Control.Monad.Par.Unsafe;;
accelerate;1.1.1.0;"Experimental";"Compilers/Interpreters, Concurrency, Data, Parallelism";C:/Users/nicol/Desktop/lts/lts-11-22\accelerate\accelerate-1.1.1.0\accelerate.cabal;ansi-wl-pprint >=0.6,base >=4.7 && <4.11,base-orphans >=0.3,containers >=0.3,deepseq >=1.3,directory >=1.0,exceptions >=0.6,fclabels >=2.0,filepath >=1.0,ghc-prim -any,hashable >=1.1,hashtables >=1.0,mtl >=2.0,template-haskell -any,time >=1.4,transformers >=0.3,unique -any,unordered-containers >=0.2;Data.Array.Accelerate,Data.Array.Accelerate.AST,Data.Array.Accelerate.Analysis.Hash,Data.Array.Accelerate.Analysis.Hash.TH,Data.Array.Accelerate.Analysis.Match,Data.Array.Accelerate.Analysis.Shape,Data.Array.Accelerate.Analysis.Stencil,Data.Array.Accelerate.Analysis.Type,Data.Array.Accelerate.Array.Data,Data.Array.Accelerate.Array.Lifted,Data.Array.Accelerate.Array.Remote,Data.Array.Accelerate.Array.Remote.Class,Data.Array.Accelerate.Array.Remote.LRU,Data.Array.Accelerate.Array.Remote.Nursery,Data.Array.Accelerate.Array.Remote.Table,Data.Array.Accelerate.Array.Representation,Data.Array.Accelerate.Array.Sugar,Data.Array.Accelerate.Array.Unique,Data.Array.Accelerate.Async,Data.Array.Accelerate.Classes,Data.Array.Accelerate.Classes.Bounded,Data.Array.Accelerate.Classes.Enum,Data.Array.Accelerate.Classes.Eq,Data.Array.Accelerate.Classes.Floating,Data.Array.Accelerate.Classes.Fractional,Data.Array.Accelerate.Classes.FromIntegral,Data.Array.Accelerate.Classes.Integral,Data.Array.Accelerate.Classes.Num,Data.Array.Accelerate.Classes.Ord,Data.Array.Accelerate.Classes.Real,Data.Array.Accelerate.Classes.RealFloat,Data.Array.Accelerate.Classes.RealFrac,Data.Array.Accelerate.Classes.ToFloating,Data.Array.Accelerate.Data.Bits,Data.Array.Accelerate.Data.Complex,Data.Array.Accelerate.Data.Fold,Data.Array.Accelerate.Data.Monoid,Data.Array.Accelerate.Debug,Data.Array.Accelerate.Debug.Flags,Data.Array.Accelerate.Debug.Monitoring,Data.Array.Accelerate.Debug.Stats,Data.Array.Accelerate.Debug.Timed,Data.Array.Accelerate.Debug.Trace,Data.Array.Accelerate.Error,Data.Array.Accelerate.FullList,Data.Array.Accelerate.Interpreter,Data.Array.Accelerate.Language,Data.Array.Accelerate.Lifetime,Data.Array.Accelerate.Lift,Data.Array.Accelerate.Prelude,Data.Array.Accelerate.Pretty,Data.Array.Accelerate.Pretty.Graphviz,Data.Array.Accelerate.Pretty.Graphviz.Monad,Data.Array.Accelerate.Pretty.Graphviz.Type,Data.Array.Accelerate.Pretty.Print,Data.Array.Accelerate.Product,Data.Array.Accelerate.Smart,Data.Array.Accelerate.Trafo,Data.Array.Accelerate.Trafo.Algebra,Data.Array.Accelerate.Trafo.Base,Data.Array.Accelerate.Trafo.Fusion,Data.Array.Accelerate.Trafo.Rewrite,Data.Array.Accelerate.Trafo.Sharing,Data.Array.Accelerate.Trafo.Shrink,Data.Array.Accelerate.Trafo.Simplify,Data.Array.Accelerate.Trafo.Substitution,Data.Array.Accelerate.Type,Data.Atomic;;
accelerate-arithmetic;1.0.0.1;"";"Math";C:/Users/nicol/Desktop/lts/lts-11-22\accelerate-arithmetic\accelerate-arithmetic-1.0.0.1\accelerate-arithmetic.cabal;QuickCheck >=2.4 && <3,accelerate >=1.0 && <1.2,accelerate-utility ==1.0.*,base >=4.5 && <5,utility-ht >=0.0.8 && <0.1;Data.Array.Accelerate.Arithmetic.Example,Data.Array.Accelerate.Arithmetic.Interpolation,Data.Array.Accelerate.LinearAlgebra,Data.Array.Accelerate.LinearAlgebra.Matrix.Banded,Data.Array.Accelerate.LinearAlgebra.Matrix.Sparse,Data.Array.Accelerate.LinearAlgebra.Private;private,src;
accelerate-bignum;0.1.0.0;"";"Compilers/Interpreters, Concurrency, Data, Parallelism";C:/Users/nicol/Desktop/lts/lts-11-22\accelerate-bignum\accelerate-bignum-0.1.0.0\accelerate-bignum.cabal;accelerate ==1.0.*,base >=4.8 && <4.10,ghc-prim -any,template-haskell -any;Data.Array.Accelerate.Data.BigInt,Data.Array.Accelerate.Data.BigWord,Data.Array.Accelerate.Internal.BigInt,Data.Array.Accelerate.Internal.BigWord,Data.Array.Accelerate.Internal.LLVM.Native,Data.Array.Accelerate.Internal.LLVM.PTX,Data.Array.Accelerate.Internal.Num2,Data.Array.Accelerate.Internal.Orphans,Data.Array.Accelerate.Internal.Orphans.Base,Data.Array.Accelerate.Internal.Orphans.Elt;src;
accelerate-blas;0.1.0.1;"";"Math";C:/Users/nicol/Desktop/lts/lts-11-22\accelerate-blas\accelerate-blas-0.1.0.1\accelerate-blas.cabal;accelerate >=1.0 && <1.2,base >=4.7 && <4.11;Data.Array.Accelerate.Numeric.LinearAlgebra,Data.Array.Accelerate.Numeric.LinearAlgebra.BLAS.Level1,Data.Array.Accelerate.Numeric.LinearAlgebra.BLAS.Level2,Data.Array.Accelerate.Numeric.LinearAlgebra.BLAS.Level3,Data.Array.Accelerate.Numeric.LinearAlgebra.Type,Data.Array.Accelerate.Numeric.Sum,Data.Array.Accelerate.Numeric.Sum.Arithmetic,Data.Array.Accelerate.Numeric.Sum.LLVM.Native,Data.Array.Accelerate.Numeric.Sum.LLVM.PTX;;
accelerate-fft;1.1.0.0;"Experimental";"Compilers/Interpreters, Concurrency, Data, Parallelism";C:/Users/nicol/Desktop/lts/lts-11-22\accelerate-fft\accelerate-fft-1.1.0.0\accelerate-fft.cabal;accelerate >=1.0 && <1.2,base >=4.7 && <4.11,bytestring >=0.9;Data.Array.Accelerate.Math.DFT,Data.Array.Accelerate.Math.DFT.Centre,Data.Array.Accelerate.Math.DFT.Roots,Data.Array.Accelerate.Math.FFT,Data.Array.Accelerate.Math.FFT.Mode,Data.Array.Accelerate.Math.FFT.Twine;;
accelerate-fftw;1.0.0.1;"";"Math";C:/Users/nicol/Desktop/lts/lts-11-22\accelerate-fftw\accelerate-fftw-1.0.0.1\accelerate-fftw.cabal;accelerate >=1.0 && <1.2,accelerate-io ==1.0.*,base >=4.5 && <5,carray >=0.1.5 && <0.2,fft >=0.1.7 && <0.2,storable-complex >=0.2.1 && <0.3;Data.Array.Accelerate.CArray.Conversion,Data.Array.Accelerate.FFTW.Manifest;src;
accelerate-fourier;1.0.0.5;"";"Math";C:/Users/nicol/Desktop/lts/lts-11-22\accelerate-fourier\accelerate-fourier-1.0.0.5\accelerate-fourier.cabal;QuickCheck >=2.4 && <3,accelerate >=1.0 && <1.2,accelerate-arithmetic ==1.0.*,accelerate-utility ==1.0.*,base >=4.5 && <5,containers ==0.5.*,transformers >=0.3 && <0.6,utility-ht >=0.0.8 && <0.1;Data.Array.Accelerate.Convolution.Adhoc,Data.Array.Accelerate.Convolution.Preprocessed,Data.Array.Accelerate.Convolution.Private,Data.Array.Accelerate.Convolution.Small,Data.Array.Accelerate.Cyclic,Data.Array.Accelerate.Fourier.Adhoc,Data.Array.Accelerate.Fourier.Planned,Data.Array.Accelerate.Fourier.Preprocessed,Data.Array.Accelerate.Fourier.Private,Data.Array.Accelerate.Fourier.Real,Data.Array.Accelerate.Fourier.Sign,Data.Array.Accelerate.Fourier.Utility,Data.Array.Accelerate.NumberTheory,Data.Array.Accelerate.Permutation;src;
accelerate-io;1.0.0.1;"Experimental";"Compilers/Interpreters, Concurrency, Data, Parallelism";C:/Users/nicol/Desktop/lts/lts-11-22\accelerate-io\accelerate-io-1.0.0.1\accelerate-io.cabal;accelerate >=1.0,array >=0.3,base >=4.7 && <4.11,bmp >=1.2,bytestring >=0.9,repa >=3.2,vector >=0.9;Data.Array.Accelerate.IO,Data.Array.Accelerate.IO.BMP,Data.Array.Accelerate.IO.BlockCopy,Data.Array.Accelerate.IO.ByteString,Data.Array.Accelerate.IO.IArray,Data.Array.Accelerate.IO.Ptr,Data.Array.Accelerate.IO.Repa,Data.Array.Accelerate.IO.Vector;;
accelerate-llvm;1.1.0.0;"";"Compilers/Interpreters, Concurrency, Data, Parallelism";C:/Users/nicol/Desktop/lts/lts-11-22\accelerate-llvm\accelerate-llvm-1.1.0.0\accelerate-llvm.cabal;abstract-deque >=0.3,accelerate ==1.1.*,base >=4.7 && <4.11,bytestring >=0.10.4,containers >=0.5,data-default-class >=0.0.1,deepseq >=1.3,directory >=1.0,dlist >=0.6,exceptions >=0.6,fclabels >=2.0,filepath >=1.0,llvm-hs >=4.1 && <5.1,llvm-hs-pure >=4.1 && <5.1,mtl >=2.0,mwc-random >=0.13,template-haskell -any,unordered-containers >=0.2,vector >=0.10;Control.Parallel.Meta,Control.Parallel.Meta.Resource.Backoff,Control.Parallel.Meta.Resource.SMP,Control.Parallel.Meta.Resource.Single,Control.Parallel.Meta.Trans.LBS,Control.Parallel.Meta.Worker,Data.Array.Accelerate.LLVM.AST,Data.Array.Accelerate.LLVM.Analysis.Match,Data.Array.Accelerate.LLVM.Array.Data,Data.Array.Accelerate.LLVM.CodeGen,Data.Array.Accelerate.LLVM.CodeGen.Arithmetic,Data.Array.Accelerate.LLVM.CodeGen.Array,Data.Array.Accelerate.LLVM.CodeGen.Base,Data.Array.Accelerate.LLVM.CodeGen.Constant,Data.Array.Accelerate.LLVM.CodeGen.Downcast,Data.Array.Accelerate.LLVM.CodeGen.Environment,Data.Array.Accelerate.LLVM.CodeGen.Exp,Data.Array.Accelerate.LLVM.CodeGen.IR,Data.Array.Accelerate.LLVM.CodeGen.Intrinsic,Data.Array.Accelerate.LLVM.CodeGen.Loop,Data.Array.Accelerate.LLVM.CodeGen.Module,Data.Array.Accelerate.LLVM.CodeGen.Monad,Data.Array.Accelerate.LLVM.CodeGen.Permute,Data.Array.Accelerate.LLVM.CodeGen.Ptr,Data.Array.Accelerate.LLVM.CodeGen.Skeleton,Data.Array.Accelerate.LLVM.CodeGen.Stencil,Data.Array.Accelerate.LLVM.CodeGen.Sugar,Data.Array.Accelerate.LLVM.CodeGen.Type,Data.Array.Accelerate.LLVM.Compile,Data.Array.Accelerate.LLVM.Compile.Cache,Data.Array.Accelerate.LLVM.Embed,Data.Array.Accelerate.LLVM.Execute,Data.Array.Accelerate.LLVM.Execute.Async,Data.Array.Accelerate.LLVM.Execute.Environment,Data.Array.Accelerate.LLVM.Execute.Marshal,Data.Array.Accelerate.LLVM.Foreign,Data.Array.Accelerate.LLVM.Link,Data.Array.Accelerate.LLVM.Link.Cache,Data.Array.Accelerate.LLVM.State,Data.Array.Accelerate.LLVM.Target,Data.Array.Accelerate.LLVM.Util,Data.ByteString.Short.Char8,Data.ByteString.Short.Extra,Data.IORef.Storable,Data.Range.Range,LLVM.AST.Type.AddrSpace,LLVM.AST.Type.Constant,LLVM.AST.Type.Flags,LLVM.AST.Type.Global,LLVM.AST.Type.Instruction,LLVM.AST.Type.Instruction.Atomic,LLVM.AST.Type.Instruction.Compare,LLVM.AST.Type.Instruction.RMW,LLVM.AST.Type.Instruction.Volatile,LLVM.AST.Type.Metadata,LLVM.AST.Type.Name,LLVM.AST.Type.Operand,LLVM.AST.Type.Representation,LLVM.AST.Type.Terminator,Paths_accelerate_llvm;;
accelerate-llvm-native;1.1.0.1;"";"Compilers/Interpreters, Concurrency, Data, Parallelism";C:/Users/nicol/Desktop/lts/lts-11-22\accelerate-llvm-native\accelerate-llvm-native-1.1.0.1\accelerate-llvm-native.cabal;Cabal >=2.0,accelerate ==1.1.*,accelerate-llvm ==1.1.*,base >=4.7 && <4.11,bytestring >=0.10.4,cereal >=0.4,containers ==0.5.*,directory >=1.0,dlist >=0.6,fclabels >=2.0,filepath >=1.0,ghc -any,hashable >=1.0,libffi >=0.1,llvm-hs >=4.1 && <5.1,llvm-hs-pure >=4.1 && <5.1,mtl >=2.2.1,template-haskell -any,time >=1.4,unique -any;Data.Array.Accelerate.LLVM.Native,Data.Array.Accelerate.LLVM.Native.Array.Data,Data.Array.Accelerate.LLVM.Native.CodeGen,Data.Array.Accelerate.LLVM.Native.CodeGen.Base,Data.Array.Accelerate.LLVM.Native.CodeGen.Fold,Data.Array.Accelerate.LLVM.Native.CodeGen.FoldSeg,Data.Array.Accelerate.LLVM.Native.CodeGen.Generate,Data.Array.Accelerate.LLVM.Native.CodeGen.Loop,Data.Array.Accelerate.LLVM.Native.CodeGen.Map,Data.Array.Accelerate.LLVM.Native.CodeGen.Permute,Data.Array.Accelerate.LLVM.Native.CodeGen.Scan,Data.Array.Accelerate.LLVM.Native.Compile,Data.Array.Accelerate.LLVM.Native.Compile.Cache,Data.Array.Accelerate.LLVM.Native.Compile.Optimise,Data.Array.Accelerate.LLVM.Native.Debug,Data.Array.Accelerate.LLVM.Native.Distribution.Simple,Data.Array.Accelerate.LLVM.Native.Distribution.Simple.Build,Data.Array.Accelerate.LLVM.Native.Distribution.Simple.GHC,Data.Array.Accelerate.LLVM.Native.Distribution.Simple.GHC.Internal,Data.Array.Accelerate.LLVM.Native.Embed,Data.Array.Accelerate.LLVM.Native.Execute,Data.Array.Accelerate.LLVM.Native.Execute.Async,Data.Array.Accelerate.LLVM.Native.Execute.Environment,Data.Array.Accelerate.LLVM.Native.Execute.LBS,Data.Array.Accelerate.LLVM.Native.Execute.Marshal,Data.Array.Accelerate.LLVM.Native.Foreign,Data.Array.Accelerate.LLVM.Native.Link,Data.Array.Accelerate.LLVM.Native.Link.Cache,Data.Array.Accelerate.LLVM.Native.Link.Object,Data.Array.Accelerate.LLVM.Native.Plugin,Data.Array.Accelerate.LLVM.Native.Plugin.Annotation,Data.Array.Accelerate.LLVM.Native.Plugin.BuildInfo,Data.Array.Accelerate.LLVM.Native.State,Data.Array.Accelerate.LLVM.Native.Target,Paths_accelerate_llvm_native;;
accelerate-llvm-ptx;1.1.0.1;"";"Compilers/Interpreters, Concurrency, Data, Parallelism";C:/Users/nicol/Desktop/lts/lts-11-22\accelerate-llvm-ptx\accelerate-llvm-ptx-1.1.0.1\accelerate-llvm-ptx.cabal;accelerate ==1.1.*,accelerate-llvm ==1.1.*,base >=4.7 && <4.11,bytestring >=0.10.4,containers ==0.5.*,cuda >=0.9,deepseq >=1.3,directory >=1.0,dlist >=0.6,fclabels >=2.0,file-embed >=0.0.8,filepath >=1.0,hashable >=1.2,llvm-hs >=4.1 && <5.2,llvm-hs-pure >=4.1 && <5.2,mtl >=2.2.1,nvvm >=0.7.5,pretty >=1.1,process >=1.4.3,template-haskell -any,time >=1.4,unordered-containers >=0.2;Data.Array.Accelerate.LLVM.PTX,Data.Array.Accelerate.LLVM.PTX.Analysis.Device,Data.Array.Accelerate.LLVM.PTX.Analysis.Launch,Data.Array.Accelerate.LLVM.PTX.Array.Data,Data.Array.Accelerate.LLVM.PTX.Array.Prim,Data.Array.Accelerate.LLVM.PTX.Array.Remote,Data.Array.Accelerate.LLVM.PTX.Array.Table,Data.Array.Accelerate.LLVM.PTX.CodeGen,Data.Array.Accelerate.LLVM.PTX.CodeGen.Base,Data.Array.Accelerate.LLVM.PTX.CodeGen.Fold,Data.Array.Accelerate.LLVM.PTX.CodeGen.FoldSeg,Data.Array.Accelerate.LLVM.PTX.CodeGen.Generate,Data.Array.Accelerate.LLVM.PTX.CodeGen.Intrinsic,Data.Array.Accelerate.LLVM.PTX.CodeGen.Loop,Data.Array.Accelerate.LLVM.PTX.CodeGen.Map,Data.Array.Accelerate.LLVM.PTX.CodeGen.Permute,Data.Array.Accelerate.LLVM.PTX.CodeGen.Queue,Data.Array.Accelerate.LLVM.PTX.CodeGen.Scan,Data.Array.Accelerate.LLVM.PTX.Compile,Data.Array.Accelerate.LLVM.PTX.Compile.Cache,Data.Array.Accelerate.LLVM.PTX.Compile.Libdevice,Data.Array.Accelerate.LLVM.PTX.Compile.Libdevice.Load,Data.Array.Accelerate.LLVM.PTX.Compile.Libdevice.TH,Data.Array.Accelerate.LLVM.PTX.Context,Data.Array.Accelerate.LLVM.PTX.Debug,Data.Array.Accelerate.LLVM.PTX.Embed,Data.Array.Accelerate.LLVM.PTX.Execute,Data.Array.Accelerate.LLVM.PTX.Execute.Async,Data.Array.Accelerate.LLVM.PTX.Execute.Environment,Data.Array.Accelerate.LLVM.PTX.Execute.Event,Data.Array.Accelerate.LLVM.PTX.Execute.Marshal,Data.Array.Accelerate.LLVM.PTX.Execute.Stream,Data.Array.Accelerate.LLVM.PTX.Execute.Stream.Reservoir,Data.Array.Accelerate.LLVM.PTX.Foreign,Data.Array.Accelerate.LLVM.PTX.Link,Data.Array.Accelerate.LLVM.PTX.Link.Cache,Data.Array.Accelerate.LLVM.PTX.Link.Object,Data.Array.Accelerate.LLVM.PTX.State,Data.Array.Accelerate.LLVM.PTX.Target,Paths_accelerate_llvm_ptx;;
accelerate-utility;1.0.0.1;"";"Parallelism";C:/Users/nicol/Desktop/lts/lts-11-22\accelerate-utility\accelerate-utility-1.0.0.1\accelerate-utility.cabal;accelerate >=1.0 && <1.2,base >=4.5 && <5,utility-ht >=0.0.8 && <0.1;Data.Array.Accelerate.Utility.Arrange,Data.Array.Accelerate.Utility.Lift.Acc,Data.Array.Accelerate.Utility.Lift.Exp,Data.Array.Accelerate.Utility.Lift.Run,Data.Array.Accelerate.Utility.Loop,Data.Array.Accelerate.Utility.Ord,Data.Array.Accelerate.Utility.Shape,Data.Array.Accelerate.Utility.Sliced,Data.Array.Accelerate.Utility.Sliced1;src;
accuerr;0.2.0.2;"Experimental";"Development";C:/Users/nicol/Desktop/lts/lts-11-22\accuerr\accuerr-0.2.0.2\accuerr.cabal;base >=4.8.0.0 && <5,bifunctors >=5.2,lens >=4.13,semigroups >=0.18.1;Accuerr;lib;
ace;0.6;"";"Linguistics";C:/Users/nicol/Desktop/lts/lts-11-22\ace\ace-0.6\ace.cabal;attoparsec >=0.10.4.0,base ==4.*,blaze-html >=0.5.1.0,blaze-markup >=0.5.2.0,data-default >=0.5.3,parsec >=3.1.5,text >=0.11.2.0;ACE,ACE.Combinators,ACE.Html,ACE.Parsers,ACE.Pretty,ACE.Tokenizer,ACE.Types.Pretty,ACE.Types.Syntax,ACE.Types.Tokens;src/;
action-permutations;0.0.0.1;"";"Control";C:/Users/nicol/Desktop/lts/lts-11-22\action-permutations\action-permutations-0.0.0.1\action-permutations.cabal;base >=2 && <5;Control.Applicative.Permutation;;
active;0.2.0.13;"";"Data";C:/Users/nicol/Desktop/lts/lts-11-22\active\active-0.2.0.13\active.cabal;base >=4.0 && <4.11,lens >=4.0 && <4.16,linear >=1.14 && <1.21,semigroupoids >=1.2 && <5.3,semigroups >=0.1 && <0.19,vector >=0.10;Data.Active;src;
ad;4.3.5;"Experimental";"Math";C:/Users/nicol/Desktop/lts/lts-11-22\ad\ad-4.3.5\ad.cabal;array >=0.2 && <0.6,base >=4.3 && <5,comonad >=4 && <6,containers >=0.2 && <0.6,data-reify ==0.6.*,erf ==2.0.*,free >=4.6.1 && <5,nats >=0.1.2 && <2,reflection >=1.4 && <3,semigroups >=0.16 && <1,transformers >=0.3 && <0.6;Numeric.AD,Numeric.AD.Halley,Numeric.AD.Internal.Combinators,Numeric.AD.Internal.Dense,Numeric.AD.Internal.Forward,Numeric.AD.Internal.Forward.Double,Numeric.AD.Internal.Identity,Numeric.AD.Internal.Kahn,Numeric.AD.Internal.On,Numeric.AD.Internal.Or,Numeric.AD.Internal.Reverse,Numeric.AD.Internal.Sparse,Numeric.AD.Internal.Tower,Numeric.AD.Internal.Type,Numeric.AD.Jacobian,Numeric.AD.Jet,Numeric.AD.Mode,Numeric.AD.Mode.Forward,Numeric.AD.Mode.Forward.Double,Numeric.AD.Mode.Kahn,Numeric.AD.Mode.Reverse,Numeric.AD.Mode.Sparse,Numeric.AD.Mode.Tower,Numeric.AD.Newton,Numeric.AD.Newton.Double,Numeric.AD.Rank1.Forward,Numeric.AD.Rank1.Forward.Double,Numeric.AD.Rank1.Halley,Numeric.AD.Rank1.Kahn,Numeric.AD.Rank1.Newton,Numeric.AD.Rank1.Newton.Double,Numeric.AD.Rank1.Sparse,Numeric.AD.Rank1.Tower;src;
